Behaviour,Reading Body Language,Zoom Room Guide to Dog Body Language,http://www.youtube.com/watch?v=00_9JPltXHI,Zoom Room,Dog,0,xxx,zzz,?,?,?,aaa
Behaviour,Reading Body Language,Zoom Room Guide to Dog Play Gestures,http://www.youtube.com/watch?v=TY8NpMm2OVA ,Zoom Room,Dog,0,xxx,zzz,?,?,?,aaa
Training,Jumping Up,Four feet on the floor - Jumping up behaviour in dogs and puppies. ,http://www.youtube.com/watch?v=XX58DLLLZF8,Domesticated Manners ,Dog,0,UK,zzz,?,?,?,aaa
Training,Handling and Grooming,Grooming,http://www.youtube.com/watch?v=xugE8cHgpXg,Domesticated Manners,Dog,0,UK,zzz,?,?,?,aaa
Activities,Fun Nosework,Fun nose work ideas,http://www.youtube.com/watch?v=EJxG--4t3SU,Multi Animal Crackers,Dog,0,UK,zzz,?,?,?,aaa
Theory,Dominance,DOMINANCE DEBUNKED- The Myths & Realities of Training Dogs,http://www.youtube.com/watch?v=pEXQsYEaYcI&list=UURyHBkIJ90SZNRyq1iVda5g ,Tab289,Dog,0,US,zzz,?,?,?,aaa
Theory,Dominance,How to be completely dominant over your dog - dog training,http://www.youtube.com/watch?v=PIEjuu0STf4,Kikopup,Dog,0,US,zzz,?,?,?,aaa
Puppy training,General Training/ Skills,How to train your puppy (bit on play biting and housetraining),http://www.youtube.com/watch?v=dEy8lkQr86s&src_vid=pEXQsYEaYcI&feature=iv&annotation_id=annotation_757024 ,Tab289,Dog,0,US,zzz,?,?,?,aaa
Puppy training,General Training/ Skills,Puppy Training – Viewer Q & A,http://www.youtube.com/watch?v=6mIw425kYk4&list=UURyHBkIJ90SZNRyq1iVda5g ,Tab289,Dog,0,US,zzz,?,?,?,aaa
Training,General Training/ Skills,Before you start training with food - clicker training dog,http://www.youtube.com/watch?v=PRT6r6d79OU,Kikopup,Dog,0,US,zzz,?,?,?,aaa
Training,General Training/ Skills,"Teaching your dog how to sit, down and stand on cue using lure and rewards",http://www.youtube.com/watch?v=Ryq7IOlue_U ,Domesticated Manners,Dog,0,UK,zzz,?,?,?,aaa
Training,General Training/ Skills,Dog Training Tutorial: Greeting visitors calmly!,http://www.youtube.com/watch?v=SrbA7cyp6K4,Tab289,Dog,0,US,zzz,?,?,?,aaa
Puppy training,General Training/ Skills,How To Raise a Well-Behaved Puppy,http://www.youtube.com/watch?v=zyoCFFQP8fw ,Tab289,Dog,0,US,zzz,?,?,?,aaa
Behaviour,General Training/ Skills,How to motivate your dog to listen,http://www.youtube.com/watch?v=1551HBaNwwk&list=PLL9CA3Yl8kWEcACwOJ3jJ8lbvhpUcyV53&index=30,Tab289,Dog,0,US,zzz,?,?,?,aaa
Training,General Training/ Skills,Teaching Skills: using toys,http://www.youtube.com/watch?v=LOhDncspayc ,Domesticated Manners,Dog,0,UK,zzz,?,?,?,aaa
Behaviour,General Training/ Skills,Capturing calmness - How to train calmness in dogs ,http://www.youtube.com/watch?v=wesm2OpE_2c,Kikopup,Dog,0,US,zzz,?,?,?,aaa
Training,General Training/ Skills,Teaching Coco to lie on her bed when asked,http://www.youtube.com/watch?v=vXDwQpgLuiI,Domesticated Manners,Dog,0,UK,zzz,?,?,?,aaa
